(Cdad. Mtar.),(CAD. MTAR.)
diastrofia,Диастрофия
diatermia,диатермия
diatomea,диатома
diatopico,диатопический
diatriba,диатрибе
diatómico,Diatomic
diatónico,Диатонический
diaula,Диалоги
dibujante,карикатурист
dibujar,рисовать
dibujarse,рисовать
dibujo,Он нарисовал
dicacidad,Дисилия
dicarpo,Dicarpo.
dicasterio,Дикастер
dicaz,ДИКАЗ.
diccionario,Словарь
diccionarista,Дикатолог
dicción,дикции
dice,Он говорит
dicha,блаженство
dicharachero,Дихарасен.
dicharacho,блаженство
dicho,говорить
dichoso,счастливый
dichón,Дихрон
diciembre,Декабрь
diciente,DIC
diciplinar,Расшифрованный
dicloruro,дихлорид
dicolor,Диколор.
dicotiledoneo,дикотилодоно.
dicotiledóneo,дикотилодоно
dicotomia,дихотомия
dicromático,двухцветный
dictado,диктация
dictador,диктатор
dictadura,диктатура
dictamen,Диктовать
dictaminar,правило
dictar,диктовать
dictar el fallo,диктовать вину
dictatorial,диктаторский
dictatorio,диктаторский
dictatura,диктация
dicterio,насмешка
dictioptero,DictioPtero.
dictioteno,дикциотен
dictáfono,диктофон
didactico,дидактика
didascaleinofobia,Descaleinofobia.
didascalia,Дидаскалия
didelfido,Дидилидо.
didelfo,Дидалфо.
didimalgia,Дидималгия
didáctica,дидактика
didáctico,дидактика
didáctilo,Дидактил
diecinueve,девятнадцать
diecinueveavo,Ninecinuevo.
dieciochavo,Diecochavo.
dieciochesco,восемнадцать
dieciochista,восемнадцатый
dieciocho,восемнадцать
dieciseis,шестнадцать
dieciseisavo,шестнадцатый
diecisiete,семнадцать
diecisieteavo,Семнадцать
diedro,Диадрат
diego,Диего
dieléctrico,диэлектрический
diente,зуб
diente de ajo,зубчик чеснока
dientes,зубы
dientes de ajo,чесночные гвоздики
dientimellado,диета
dientudo,овел
dieresis,Диеризатор
diesel,дизель
diestra,умелый
diestro,правильно
dieta,диета
dietar,диета
dietario,диета
dietético,диета
diez,десять
diezmar,декорация
diezmo,тарелка
difamación,клевета
difamador,деферация
difamar,дефект
difamatorio,деферация
difamia,диффамация
diferencia,разница
diferenciación,дифференциация
diferencial,дифференциал
diferenciar,дифференцировать
diferenciarse,дифференцировать
diferente,другой
diferir,отличаться
dificil,жесткий
dificultad,трудность
dificultar,затруднить
dificultoso,трудный
difidación,РАЗНИЦА
difidencia,Дифидидад
difidente,диффузия
difiodonto,Diffoidonto
difiuciar,размытый
difluente,диффунт
difluir,различия
difracción,дифракция
difractar,дифраккта
difrangente,дифрагент
difteria,дифтерии
difteritis,диптериит
diftérico,дивертер
difumar,блеф
difuminar,размытие
difundir,распространять
difundirse,размытый
difuntear,игнорировать
difunto,покойный
difusibilidad,диффузия
difusion,диффузия
difusivo,диффундироваться
difusión,диффузия
difuso,размытый
difusor,диффузор
difásico,диф хаус
difícil,жесткий
digastrico,дивастро
digerible,усваиваемый
digerir,переварить
digestible,усваиваемый
digestivo,пищеварительное
digestión,пищеварение
digestor,ввигатель
digitación,обжигание
digitado,цифровая.
digital,цифровой
digitalizar,оцифровывать
digitiforme,Оригинальный
digitigrado,дигитиградо
digladiar,копать
diglosia,Digrosia.
dignación,Одинаково
dignar,Дискар.
dignarse,уборщик
dignatario,сановник
dignidad,достоинство
dignificar,достойно
digno,достойный
digresionar,пищеварение
digresivo,экскурсию
digresión,отступление
dihexaedro,Dihexaedro
dije,сказал
dilacerar,Дилакар
dilacion,задерживать
dilación,задерживать
dilapidación,разведение
dilapidador,Динапидадор
dilapidar,развод
dilatabilidad,Расширяемость
dilatable,разводят
dilatación,дилатация
dilatado,расширенный
dilatar,расширять
dilatarse,расширять
dilatoria,разлагаться
dilatorio,разлагаться
dildo,фаллоимитатор.
dilección,дистрибмент
dilecto,возлюбленный
dilema,дилемма
diletante,дилеттант
diletantismo,дилеттатизм
diligencia,усердие
diligenciar,Усердие
diligenciero,усердный
diligente,усердный
dille,дилли
dilogía,Дилоги
dilucidación,расширение
dilucidar,выяснять
dilucidario,дидол
dilución,разбавление
diluir,разбавить
diluviada,разбавленный
diluvial,разбавитель
diluviano,Дилавиано.
diluviar,подразделение
diluvio,Подразделение
dilúcido,разлагающийся
dim,Смущать
dim.,Смущать
dim. desp.,тусклый уволен
dimanación,Восстановление
dimanar,Димар
dimenhidrinato,Dimenhidrinate
dimension,измерение
dimensional,мерный
dimensionar,измерение
dimensión,измерение
dimes,Десять центов.
dimes y diretes,безразличный
dimidiar,умидиал
dimidiatar,димидиат
diminución,уменьшение
diminuente,крошечный
diminuir,Diminux.
diminutivo,миниатюрный
diminuto,крошечный
dimisionario,димконтность
dimisión,отставка
dimisorias,Ограничение
dimitir,в отставку
dimorfismo,диморфизм
dimorfo,диморф
din,ДИН.
dina,дин
dinamarca,Дания
dinamarquesa,Денамаризм.
dinamarqués,Дания
dinamia,динамика
dinamica,динамический
dinamico,динамический
dinamismo,динамизм
dinamita,динамит
dinamitar,динамит
dinamitazo,динамитазо
dinamitero,динамиктор
dinamizar,динализировать
dinamo,динамо
dinamoscopio,диноскоп
dinamómetro,динамометр
dinar,динар
dinasta,Dynasta.
dinastia,династия
dinastía,династия
dinerada,Ошибка
dineral,пакет
dineralada,Деньги
dinerillo,закусочный
dinero,Деньги
dineroso,пообедать
dingolondango,Динголонданго.
dinofobia,Динофобия
dinomido,Диномидо.
dinosaurio,динозавр
dinoterio,Динотериум
dintel,линта
dintelar,литул
dinámica,динамический
dinámico,динамический
dinástico,династик
diocesano,епархиальный
diocesis,епархии
diodo,диод
diodonte,диодон
diogenes,Диогены
dioico,диоиоб.
dionea,дионея
dioptria,диоптрий
dioptría,диоптрий
diorama,диорама
diorita,зеленый
dios,Бог
diosa,богиня
diosesa,божественный
dioso,Диосу.
diostedé,Godtedé.
diplodoco,Диплодоко
diploma,диплом
diplomacia,дипломатия
diplomado,дипломат
diplomar,диплом
diplomatico,дипломатический
diplomatizar,дипломатизировать
diplomática,дипломат
diplomático,дипломатический
diplopia,Диплопия
diploteno,диплотено.
dipluro,Диплор.
dipneo,Дипнее.
dipnoo,Дипноо
dipodido,Диподидо.
dipsacáceo,Dipsacaceous
dipsomania,Dipsomania
dipsomaniaco,дипсоман
dipsomanía,Dipsomania
dipsomaníaco,дипсоман
dipsáceo,Дипломный
dipsómano,дипсоман
diptero,дифтер
diptico,диптих
diptongación,Tipthation.
diptongar,дифтонг
diptongizar,дипфог
diptongo,дифтонг
diputación,депутация
diputada,депутат
diputado,депутат
diputados,депутаты
diputar,депутация
dique,плотина
diquelar,далеко
direccion,направление
direccionar,Добавлять
dirección,адрес
directiva,директива
directivo,должностное лицо
directo,прямой
director,директор
directora,директор
directoral,Директор
directorio,каталог
directoría,Директор
directriz,директива
diretes,Направления
dirigente,лидер
dirigible,дирижабль
dirigir,портить
dirigirse,направляясь вниз
dirimente,аннулирующий
dirimir,Диримир.
dirruir,Дирруар.
disanto,Isanto.
disanular,Невозмутимо
disbasia,диссионный
discantar,Диссифа.
discante,отдохнуть
discapacidad,инвалидность
discapacitar,Инвалидность
discar,увольнять
disceptar,домик
discernimiento,Освобождение
discernir,различисть
disciplina,дисциплина
disciplinado,дисциплинированный
disciplinante,дисциплина
disciplinar,дисциплина
disciplinario,дисциплинарный
disciplinarse,дисциплинированный
disciplinazo,дисциплина
discipulado,ученичество
discipular,ученик
discipulo,ученик
disco,диск
discobolo,дискобол
discoidal,дискоида
discoide,Дисковидный
discoideo,дисковидный
discolo,бессмысленный
disconforme,разногласия
disconformidad,разногласия
disconsiderar,дискуссионный
discontinuación,прекращение работы
discontinuar,Прекрасна
discontinuidad,разрыв
discontinuo,прерывистый
disconveniencia,Отключение
disconveniente,скидка
disconvenir,Обсуждение
discordancia,различисть
discordar,раздор
discorde,несоответствующий
discordia,раздор
discoteca,дискотека
discotecas,дискотека
discrasia,Разведка
discrecional,дискреционный
discreción,осмотрительность
discrepancia,несоответствие
discrepar,не соглашаться
discretear,дискретный
discreteo,дискретно.
discreto,сдержанный
discrimen,дискриминация
discriminacion,дискриминация
discriminación,дискриминация
discriminar,дискриминация
disculpa,Извини
disculpable,простираться
disculpar,извинение
disculparse,извиняться
discurrir,причина
discursar,дискурсовый
discursear,бежать
discursivo,дискурсивный
discurso,речь
discusión,обсуждение
discutible,спорно
discutir,спорить
discípulo,ученик
discóbolo,дискобол
disdacria,Увольнять
disecación,рассечение
disecador,диссектор
disecar,рассекать
diseccionar,рассекать
disección,диссекция
disector,диссектор
diseminación,распространение
diseminar,распространять
diseno,дизайн
disensión,разногласие
disenso,диссионный.
disenteria,Дизентерия
disentería,Дизентерия
disentimiento,отказ
disentir,отказ
disentérico,Несоответствующий
disertación,диссертация
disertar,дискурс
diserto,высмеивать
diseñador,дизайнер
diseñar,Дизайн
diseño,дизайн
disfagia,дисфагия
disfamar,Дисфамар
disfavor,неотложный
disfemismo,дисфемизм
disforia,Декорация.
disformar,Совокупность
disforme,декор
disformidad,Разворечивость
disfraz,обычай
disfrazar,маскировка
disfrazarse,носить костюмы
disfrutar,наслаждаться
disfrutarse,наслаждайся
disfrute,удовольствие
disfuerzo,замаскировка
disfumar,Дисфум
disgerminoma,Диминома.
disglosia,недовольство
disgregación,дезинтеграция
disgregar,распадаться
disgustado,отвращение
disgustar,отвращение
disgustarse,отвращение
disgusto,Не нравится
disgustoso,отвращение
disidencia,несогласие
disidente,диссидент
disidir,отказ
disimetría,диссимметрия
disimilacion,диссимиляция
disimilación,диссимиляция
disimilar,Тихий.
disimilarse,канал
disimilitud,различия
disimulación,рассеяние
disimulado,замаскирован
disimulador,рассуждать
disimular,Спрятать
disimulo,рассеяние
disimétrico,диссимметричный
disipable,рассеиваться
disipación,рассеяние
disipado,рассеивается
disipador,диссипатор
disipar,рассеять
disiparse,рассеивать
disipular,Дисипур
dislalia,Невозмутимо
dislatar,неразрушающийся
dislate,Распиливать
dislexia,дислексия
dislipemia,Дислипремия
dislocación,дислокация
dislocadura,Дислокад
dislocar,вывихнуть
dislocarse,вывихнуть
disloque,заблокировать
dismembración,обесценение
dismembrar,расчленение
dismenorrea,Дисменорея
disminución,снижаться
disminuir,уменьшаться
dismnesia,упреждение
dismorfia,дисморфин
dismorfismo,Дисморфизм.
disnea,Диспноа
disneylandia,Диснейленд
disociación,диссоциация
disociar,диссоциировать
disolubilidad,растворимость
disoluble,растворимый
disolución,растворение
disolutivo,Разнос
disoluto,распустить
disolvente,растворитель
disolver,распустить
disolverse,растворить
disonancia,диссонанс
disonante,диссонанс
disonar,резармонизировать
dispar,разногласие
disparacestones,бисер
disparada,уволенный
disparadero,стрельба
disparador,триггер
disparar,стрелять
dispararse,стрелять
disparatado,сумасшедший
disparatar,Киттл
disparate,глупость
disparatear,Стрельба
disparatorio,Показывать
disparejo,неровный
dispareunia,скучный
disparidad,неравенство
disparo,Стрельба
dispendio,Дозировать
dispendioso,расточительный
dispensa,распределение
dispensación,распределение
dispensador,распылитель
dispensar,распределять
dispensario,дозар
dispepsia,диспепсия
dispersar,рассеивать
dispersion,дисперсия
dispersivo,дисперсивность
dispersión,дисперсия
disperso,разбросанный
dispertar,объем
dispexia,Дисперсия
displacer,Отображать
displasia,дисплазия
displicencia,безразличие
displicente,раздражать
disponedor,Денсфер
disponer,предоставлять
disponerse,договариваться
disponibilidad,доступность
disponible,имеется в наличии
disposición,обеспечение
dispositivo,устройство
disprosio,Прием.
dispuesto,готов
disputa,ссориться
disputable,спорный
disputación,Спор
disputador,Оспарист
disputar,спор
dispéptico,диспептический
disqueratosis,Диск дисксутоз
disquero,ЧПЕРО.
disquete,дискета
disquisición,расстраивание
disritmia,Дисритмия
disrupcion,нарушение
distal,дистальный
distancia,расстояние
distanciado,далекий
distanciamiento,дистанцирование
distanciar,расстояние
distanciarse,расстояние
distancias,расстояния
distante,далекий
distar,далекий
distelacia,Dychecia
distender,растягивать
distendir,Дистендер.
distensión,растяжение
disterminar,дистиллинг
distico,дистич
distilar,димильт
distilo,дистил
distinción,различие
distingo,дистиндин.
distinguible,различимый
distinguido,выдающийся
distinguir,отличать
distinguirse,дистиндин.
distintivo,отличительный
distinto,другой
distocia,расчет
distopico,Distopico.
distorsionar,искажать
distorsión,искажение
distraccion,отвлечение
distracción,отвлечение
distraer,отвлекать
distraerse,отвлекаться
distraimiento,отвлечение
distraído,несосредоточенный
distribución,распределение
distribuidor,распределитель
distribuidora,распределитель
distribuir,распростронять
distribuirse,распределять
distributivo,распределительный
distributor,Распределитель
distrital,район.
distrito,округ
distrofia,дистрофия
disturbar,беспокойство
disturbio,бунт
disuadir,разговаривать
disuasivo,сдерживающий
disuasión,сдерживание
disuelto,рассеянный
disuria,дисурия
disvariar,Увольнять
disyuncir,диспозиция
disyunción,дизъюнкция
disyunta,disjunta.
disyuntiva,дилемма
disyuntivo,дизъюнктивный
disyuntor,хитрый номер
disílabo,Раскрывать
disímbolo,Разди.
disímil,различиться
dita,Дита
ditero,Дизео.
ditirambo,димирамб
diu,DIU.
diuca,диук
diuresis,диурез
diuretico,диуретический
diurno,день
diurético,диуретический
diva,дива
divagación,отступление
divagar,прорезаться
divan,диван
divergencia,расхождение
divergente,дивергентно
divergir,расходность
diversidad,разнообразие
diversificar,диверсифицировать
diversión,весело
diverso,разнообразный
diverticulo,дивертикуль
divertido,забавный
divertimiento,Весело
divertir,забавляться
divertirse,"радоваться, веселиться"
dividendo,дивиденды
dividir,расколоть
dividir a uno por el eje,разделять
dividirse,разделить
dividivi,дивизии
divieso,кипятить
divinal,диверсиновый
divinar,божественный
divinidad,божественность
divinización,девинизация
divinizar,обожествлять
divino,божественный
divisa,значок
divisar,разделять
divisarse,видеть
divisibilidad,делимость
divisible,делится
divisional,подразделение
divisionario,дивизионный
división,разделение
divisor,делитель
divisoria,разделять
divisorio,разделить
divo,Дивы
divorciada,развод
divorciado,в разводе
divorciar,расторжение брака
divorciarse,расторжение брака
divorcio,расторжение брака
divulgacion,развлечение
divulgación,развлечение
divulgador,Распространение
divulgar,разглашать
diván,диван
diz,Диз.
dizque,диска
diácido,дьямид
diácono,деакон
diáfano,спутник
diálisis,диализ
diálogo,диалог
diámetro,диаметр
diátesis,диатез
diéresis,Диерез
diñar,динар
diñarla,Дианьярла
diócesi,Епархии
diócesis,епархии
dióxido,диоксид
do,делать
dobla,двойной
doblada,дублировать
dobladillar,подол
dobladillo,подол
doblado,согнуты
dobladura,изгиб
doblaje,Дублировка
doblar,Сгибать
doblar la cabeza,Сложить голову.
doblar la esquina,повернуть угол
doblar la rodilla,Согнуть колено
doblarse,двойной
doble,двойной
doblegable,изгиб
doblegadizo,дублет
doblegar,Двойной
doblegarse,сгибать
doblemente,вдвойне
doblero,Фублеро
dobles,двойной
doblete,дублет
doblez,складывать
doblón,дублон
doce,двенадцать часов
docena,дюжина
docenal,дюжина
docenario,дюжина
docenas,десятки
docencia,преподавание
docente,учитель
docil,послушный
docilidad,послушность
docilitar,доки
dock,док
docto,научился
doctor,врач
doctora,врач
doctorado,доктор
doctoral,доктором
doctorando,докторская студентка
doctorar,доктор
doctorarse,докторская степень
doctorear,Дичайший
doctrina,доктрина
doctrinador,Доктринатор.
doctrinal,доктринал
doctrinar,доктрина
doctrinario,доктринари
doctrinero,доктринеро
doctrino,доктрина
documentación,документация
documentado,документированный
documental,документальный фильм
documentalista,документальный
documentar,сохранить запись
documento,документ
documentos,Документы
dodecaedro,додекаэдр
dodecasilabo,Додекасилабо.
dodecasílabo,Додекасилабо.
dodecágono,Додекагон
dodo,Додо.
dogal,петля
dogma,догма
dogmatismo,догматизм
dogmatizar,догматизировать
dogmática,догматический
dogmático,догматический
dogo,Хожу.
doladera,долорада
dolama,Долама.
dolar,доллар
dolencia,болезнь
doler,причинять боль
dolerle,Доля
dolerse,Хурит
dolicocefalo,Долихоцефалический
dolicocero,Доликоцеро
doliente,страдания
dolman,Долман.
dolmen,дольмен
dolo,Доло.
dolobre,Долобр
dolomita,доломит
dolomía,доломит
dolor,боль
dolores,Долорес
dolorido,больной
doloroso,болезненный
doloso,рок
doma,домен
domable,домидно
domador,укрытие
domadora,укрощение
domadura,укрощение
domar,укрытие
domesticación,доместимость
domesticar,приручить
domestico,одомашненный
domeñar,ДОМЯНАР.
domiciliado,Домицитал
domiciliar,Дом
domiciliaria,Доминирование
domiciliario,доминирование
domiciliarse,решить
domicilio,дом
dominación,доминирование
dominador,доминирование
dominancia,доминирование
dominante,доминантный
dominar,доминировать
dominarse,доминировать
domingo,Воскресенье
domingos,Воскресенье
dominguejo,Воскресенье
dominguero,Воскресенье
dominguillo,Solguillo.
dominical,Воскресенье
dominicano,Доминиканский
dominico,Доминикан
dominio,домен
dominión,Доминирование
domino,домино
dominó,домино
domo,купол
dompedro,Dompedro.
doméstico,одомашненный
don,Дон
dona,Г-жа
donación,пожертвование
donador,Донор
donadío,Донадиано.
donaire,Грейс
donairoso,Донароос.
donante,донор
donar,пожертвовать
donatario,Донат
donativo,Пожертвование
donato,Донато.
doncel,дева
doncella,служанка
doncellez,девичество
doncellueca,Doncellueca.
donde,куда
dondequiera,где бы
dondiego,Г-н Диего.
donear,тонировка
donguindo,Дондондондо.
donillero,Дональро
donjuan,Дон Жуан
donjuanear,Donjuaar
donjuanesco,ДонджунаСКО.
donjuanismo,Донджуанисмо.
donjuán,Дон Жуан
donosidad,Одоленность
donoso,пожертвование
donostia,Доностия
donostiarra,Доностиарра
donosura,Доносура
doodle,каракули
dopado,допинг
dopaje,допинг
dopamina,дофамин
dopar,догар.
dopingar,допинг
doquier,делать
doquiera,Любые
dorada,Золотистый
doradilla,Goldilla.
dorado,золотистый
dorador,гирдер
doradura,Горда.
doral,Дорал.
dorar,коричневый
dorico,дорический
doriforo,Doriforo.
dorio,Дориан
dormida,спящий.
dormidera,Дормидера.
dormidero,Сборка
dormidor,Спальня
dormilona,Дормилона.
dormilón,соня
dormir,спать
dormirse,падение сна
dormitar,доза
dormitivo,Спальня
dormitorio,Спальня
dormán,дольман
dorna,Дорана.
dornajo,Дорнце.
dorotea,Доротея.
dorsal,дорсал
dorso,назад
dorífora,Картофельный жук
dos,два
dosañal,дозаñal.
doscientos,Двести
dosel,навес
dosificación,дозировка
dosificar,доза
dosillo,Дозильо.
dosimetría,дозиметрия
dosis,доза
dossier,досье
dosímetro,дозиметр
dotación,оказание
dotador,Dotador.
dotar,сдаваться
dote,доверие
dotrinar,дотриарна
dovela,Довела.
dovelar,Довелар.
doxologia,dooxologia.
dozavado,Дозавадо.
dozavo,двенадцатый
doña,Г-жа
doñear,Doñear.
dracena,Драчена.
draco,Драко.
draconiano,Драконовский
dracula,Дракула
draga,дредность
dragado,разумно
dragaminas,тральщик
dragar,дредность
drago,Драга.
dragomán,Драгомана
dragon,Дракон
dragona,Драгона
dragoncillo,Dragoncillo.
dragonear,драгун
dragón,Дракон
drama,драма
dramamine,драмамин
dramatismo,Драматическая
dramatizar,драматизировать
dramaturgia,драматургия
dramaturgo,драматург
dramática,драматический
dramático,драматический
drapear,драпировка
draque,Драк.
drastico,резкий
dravidico,Dravidico.
drecera,нарисовалась
drecrecer,Дридина
dren,Дрен.
drenaje,канализация
drenar,осушать
drezar,нарисовалась
driblar,кариться
dril,джинс
drill,Сверлить.
driopiteco,Driopiteco
driptosaurio,Дриптозавриат
drive,водить машину
driza,фал
drizar,Дриф
droga,лекарство
drogar,лекарство
drogarse,Настройка
droguero,наркотик
droguería,аптека
droguista,аптекарь
drolático,Дрофатик
dromedario,Dromedary
dron,дрон
dropar,кукла
drope,Погрузка
dropear,Потрясающий
drosera,досера
droseracea,Drosecea
drosofila,Дрозофила
drosometro,Drosometro
druida,Друид
druidismo,Друидизм.
drupa,боковины
drupáceo,Drupaceo.
drusa,Drusa.
drástico,резкий
dría,Сушеный.
dríada,сухой
dríade,Сухой
dual,двойной
dualidad,двойственность
dualismo,дуализм
dualista,Дуалистист
duba,Дуба.
dubio,Дубио.
dubitable,Потрясающий
dubitación,Дубитация
dubitativo,Дубитативный
dublé,Дубл.
ducado,герметичность
ducal,договориться
ducentésimo,Унылый
ducha,душ
duchar,душ
ducharse,принять душ
duchas,душевые
ducho,Дубирео.
ductilidad,пластичность
ductor,Продуктово
ductus,проток
duda,сомневаться
dudable,Современно
dudar,чувак
dudoso,сомнительный
duea,владелец
duela,выдерживать
duelista,дуэлист
duelo,дуэль
duende,эльф
duendo,Дуэндо.
dueno,владелец
dueo,владелец
duermevela,Спать
duerna,пустяк
dueña,владелец
dueño,владелец
dugo,Дуно.
dula,дура
dulcamara,паслен
dulce,конфеты
dulcedumbre,Dulcedoumit.
dulcera,Dulcera.
dulcero,кондитер
dulcería,Candy Store.
dulciagrio,Dulciagrio
dulciagro,Дульчагро.
dulcificación,Делсификация
dulcificar,Sweetify
dulcinea,Dulcinea.
dulcir,Дульчир.
dulcísono,медленный
dulia,Поклонение святым и ангелам.
dulzaina,Дулзина
dulzaino,сладость
dulzamara,Дулзамара
dulzarrón,Durazarrón.
dulzor,сладость
dulzorar,сладкий
dulzura,сладость
dulzurar,сладкий
dulzón,Дулцон.
dumping,сброс
duna,одумывать
dundeco,Dundeco.
dundo,Дундема
duneta,Дунета.
duo,дуэт
duodecimal,двенадцатиперстная кишка
duodenal,Дуоденал
duodeno,Дуодинум
duodécimo,двенадцатый
duomesino,Дуомисино
dupa,ДУППА
duplex,дуплекс
duplicación,дублирование
duplicado,дублировать
duplicador,дубликатор
duplicar,двойной
duplicidad,Двойственность
duplo,дюплое.
duque,герцог
duquesa,герцогиня
dura,жесткий
durabilidad,долговечность
durable,прочный
duración,продолжительность
durada,проложенный
duradero,прочный
duraluminio,Дураль
duramadre,DuraMader
duramen,душевное состояние
durante,в течение
durar,длиться
duraznero,персик
duraznillo,Дуразнильо
durazno,персик
dureza,твердость
durillo,Дурильо.
durmiente,спать
duro,Длился
duro de oído,Твердое ухо
dvd,DVD
dáctilo,дактиль
dádiva,подарок
dánico,Дандийка
dársele,делать
dársena,док
dátil,дата
débil,слабый
débil mental,слабость
débito,дебет
década,десятилетие
décima,десятая часть
décimo,десятая часть
décuplo,десять раз
dédalo,лабиринт
déficit,дефицит
dérmico,конечный
déspota,деспотал
déspoto,Déspoto.
día,день
día a día,дня в день
día crítico,критический день
día de final,Последний день
día de juicio,День суждения.
día decretorio,ДЕНЬ ДЕНЬ
día del final,Последний день
día del juicio,конец света
día tras día,послезавтра
días,дни
díceres,Диски
díctamo,Диктомус
dígito,цифра
dínamo,динамо
díptero,дифтер
díptica,диптих
díptico,диптих
díscolo,бессмысленный
dísono,Разумно
dístico,дистич
dítono,смущать
dócil,послушный
dólar,доллар
dómine,Домин
dómino,домино
dónde,куда
dórico,дорический
dúctil,ковкий
dúo,дуэт
dúplex,дуплекс
e,и
e.,и.
e/,и/
ebanificar,Кабаниф
ebanista,столяр
ebanistería,шкафчик
ebano,черное дерево
ebeje,Ebeje.
ebenáceas,Ebenaceae.
ebola,Эбола
eborario,ебарио
ebrear,эмиссионный
ebriedad,пьянство
ebrio,пьяный
ebrioso,эбразный
ebulición,Щумин
ebullicion,кипение
ebullición,кипение
ebullófilo,Ebullophile
eburneo,Eburneo.
eburno,Эбуро.
ebúrneo,неаквартирный
ecarte,экарте
ecbólico,эпболический
eccehomo,ЭКСКОМО.
eccema,экзема
ecdisis,Ecdisis
ecdisozoos,Ecdisozoa
eceptuar,EceceCto.
echacantos,Эхакантос
echacorvear,эхакорверее.
echacorvería,Echalervería.
echacuervas,Эхакурвас.
echada,В ролях
echadillo,Echadillo.
echadizo,шпион
echado,врущий
echador,кастрюль
echadura,Кастор.
echamiento,выброс
echando,качка
echar,бросать
echar a cara o cruz,подбрасывать вверх
echar a hablar,выбросить
echar a la cara a uno,занимать
echar a paseo a uno,розовый
echar a perder,портиться
echar a pique,раковина
echar a uno a la calle,выводить из себя
echar a vuelo las campanas,взять колокол
echar al mundo,Через мир
echar al trajín a uno,выбрасывать
echar baba,Баба
echar bocanadas de sangre,пышность
echar buen lance,Возьми хорошего лечения
echar cortadillo,В ролях
echar de bolina,болина
echar de menos,скучать
echar el bodegón por la ventana,Возьми натюрморт через окно
echar el guante a uno,озвучивать
echar el resto,бросить отдых
echar en falta,грязный
echar en la cara a uno,занимать
echar fieros,жарить
echar fresco,мешок
echar garbanzos a uno,цыпленок
echar guata,Получить Гуата
"echar guindas a la tarasca, a ver cómo las masca","Возьмите вишню в Тараска, чтобы увидеть, как Маска"
echar la cuenta,принять счет
echar la llave,заблокировать
echar la mano,рука
echar la primera piedra,подача
echar la red,бросить сеть
echar la tijera,Возьми ножницы
echar la zarpa,Взять парус
echar las cabras,козы для тона.
echar las redes,Взять сетки
echar las temporalidades,Воспользоваться временным
echar luz,выбросить свет
echar mal lance,бросать плохо
echar mano,Найдите руку
echar otra sardina,бросить еще одну сардину
echar plantas,Бросание растений.
echar por la calle de en medio,поставить
echar por los imbornales,выбросить
echar raíces,укореняться
echar sapos y culebras,суп
echar tierra a una cosa,опускаться
echar un chafarrinón,Возьми памфхаринон на.
echar un forro a uno,оболочка
echar un rentoy,взять аренду
echar una losa encima,шлем
echar una vista,пройти представление
echarle,Бросать
echarle a uno el gato a las barbas,бросить кошку в бороды
"echarle guindas a la tarasca, a ver cómo las masca","Возьмите вишню в Тараска, чтобы увидеть, как Маска"
echarle los latínes,Взять удары
echarlo,Те
echarlo todo a rodar,"бросить все, чтобы стрелять"
echarpe,шарф
echarse,наклоняться
echarse a la calle,прилягте
echarse a la espalda una cosa,выбросить одну вещь
echarse a perder,портиться
echarse a tierra,идти на землю
echarse al coleto,лгать кофето.
echarse al mundo,идти в мир
echarse con las petacas,PutAC.
echarse en tierra,бросать на землю
echarse por tierra,запускать
echazón,jettison.
echona,маленький серп
echonería,Эхергия
echón,браггарт
eclampsia,эклампсия
eclecticismo,эклектизм
eclectico,эклектический
eclesiastizar,Экклесии
eclesiástico,Экклесиастика
eclipsar,затмение
eclipsarse,затмение
eclipse,затмение
ecliptica,ecliptic
eclisa,рыбинка
eclosion,инкубация
eclosionar,люк
eclosión,инкубация
ecléctico,эклектический
eclímetro,Eclimeter.
eclíptica,ecliptic
eclíptico,ecliptic
eclógico,эндологический
eco,эхо
eco-sonda,Эко-зонд.
ecogenesis,Экогенез
ecografa,Экография.
ecografia,Экография.
ecolalia,Эколалия.
ecolocacion,Эколокация
ecologia,экология
ecología,экология
ecológico,экологический
ecometro,эхолот
economato,экономика
economia,экономика
economista,экономист
economizar,экономить
economo,Эконом.
economía,экономика
económica,экономический
económicamente,Экономически
económico,экономический
ecosistema,экосистема
ecosonda,Экосонда
ecotono,ecoTone.
ectodermo,Этодерммо.
ectopia,Этопия
ectoplasma,Эктоплазма
ectrodactilia,экстродактилия
ectropion,Эктопион
ectógeno,эктоген
ecuacion,уравнение
ecuación,уравнение
ecuador,Эквадор
ecualizar,Выравниваться
ecuanime,даже
ecuanimidad,равновесие
ecuatorial,экваториальный
ecuatoriana,Эквадориана.
ecuatoriano,Эквадориант
ecuestre,конный
ecumenico,ecomenical
ecuménico,ecomenical
ecuánime,даже
ecuóreo,Equóreo.
eczema,экзема
ecónomo,экономный
edad,возраст
edafologia,почвоведение
edafología,почвоведение
edafon,Эдафон.
edafólogo,Эдафолог
edecan,Эдекан.
edecán,Эдекан.
edelweiss,Эдельвейс.
edema,отек
edematoso,отека
eden,Eden
edgardo,Edgardo.
edición,версия
edicto,указ
edificación,назидание
edificador,Строитель
edificante,назидательное
edificar,строить
edificativo,Строительство
edificatorio,Строительство
edificio,строительство
edil,мэр
edipismo,Эдипкоизм.
edipo,Эдип
editar,Редактировать
edith,Эдит.
editor,редактор
editor responsable,Ответственный редактор
editorial,редакция
editorializar,Редактирование
edrar,Эдрар.
edredon,стеганый
edredón,стеганый
educacion,образование
educacional,образование
educacionista,образование
educación,образование
